initial_spp_id,confirmed_species_id,ECA_name,s_label,box,position,last chunk,bleach,bleach transfer,Freeze box,chunk to freeze,10cm plates to Robyn,worms frozen,10cm gdna plate,DNA pellet,gDNA extracted,notes,,,,,,,,,,,
C. tropicalis,C. tropicalis,ECA1305,S-07881,1,A4,1/29/19,2/1/19,2/2/19,7,2/5/19,1,2/11/19,,1,,,,,,,,,,,,,
C. tropicalis,C. tropicalis,ECA1306,S-08029,1,B2,5/9/19,5/13/19,5/14/19,104,5/20/19,1,6/10/19,1,,,"Transfer many worms, slow grower!",,,,,,,,,,,
C. tropicalis,C. tropicalis,ECA1307,S-08031,1,B2,1/29/19,2/1/19,2/2/19,8,2/5/19,1,2/14/19,,1,,,,,,,,,,,,,
C. tropicalis,C. tropicalis,ECA1308,S-08033,1,B3,3/9/19,3/12/19,3/13/19,,,1,2/25/19,,1,,,,,,,,,,,,,
C. tropicalis,C. tropicalis,ECA1309,S-08034,1,B3,5/16/19,5/20/19,5/21/19,102,5/28/19,1,2/25/19,1,,,,,,,,,,,,,,
C. tropicalis,C. tropicalis,ECA1310,S-08036,1,B3,7/17/19,7/19/19,7/20/19,,,1,3/19/19,1,1,,"Transfer many worms, slow grower!",,,,,,,,,,,
C. tropicalis,C. tropicalis,ECA1311,S-08559,1,D5,2/16/19,done,,,,1,2/7/19,,1,,,,,,,,,,,,,
C. tropicalis,C. tropicalis,ECA1312,S-08569,1,E1,5/16/19,5/20/19,5/21/19,103,5/28/19,1,3/6/19,,1,,,,,,,,,,,,,
C. tropicalis,C. tropicalis,ECA1313,S-08578,1,E2,5/16/19,5/20/19,5/21/19,104,5/28/19,1,3/15/19,1,,,only transfered 2 L1s,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
